requested_by,min,max,mean,count,min_hours,max_hours,mean_hours,min_days,max_days,mean_days
arouf@ec32,4129.149948120117,16875.74970817566,9249.969342667124,368,1.1469860967000325,4.687708252271016,2.5694359285186454,0.04779108736250136,0.19532117717795902,0.10705983035494356
arouf@ec38,4088.4045741558075,16873.01229071617,10037.820725072514,341,1.135667937265502,4.68694785853227,2.788283534742365,0.04731949738606259,0.19528949410551125,0.11617848061426521
arouf@ec37,4127.396679162979,16529.25102877617,9474.434345770014,359,1.146499077545272,4.5914586191044915,2.6317873182694482,0.04777079489771967,0.19131077579602046,0.10965780492789369
arouf@ec31,3989.5714013576508,16434.491567611694,9403.659048941254,362,1.108214278154903,4.565136546558804,2.6121275135947926,0.046175594923120955,0.1902140227732835,0.10883864639978302
x-arouf@a008.anvil.rcac.purdue.edu,3418.982362985611,14559.78952550888,7896.50165385556,1370,0.9497173230515586,4.044385979308022,2.1934726816265444,0.03957155512714827,0.1685160824711676,0.09139469506777269
x-arouf@a060.anvil.rcac.purdue.edu,3404.28986120224,14553.910737037659,7736.501453360297,1060,0.9456360725561778,4.042752982510461,2.1490281814889713,0.03940150302317407,0.16844804093793586,0.08954284089537382
x-arouf@a012.anvil.rcac.purdue.edu,3395.782686471939,14482.209124088287,7924.037190694874,1034,0.9432729684644275,4.022835867802302,2.201121441859687,0.03930304035268448,0.16761816115842926,0.0917133934108203
x-arouf@a034.anvil.rcac.purdue.edu,3434.366174221039,14471.897776842117,7763.758943498022,1054,0.9539906039502886,4.019971604678366,2.156599706527228,0.03974960849792869,0.1674988168615986,0.08985832110530118
x-arouf@a078.anvil.rcac.purdue.edu,3428.5228424072266,14396.531599283218,7882.0663402520095,1036,0.9523674562242296,3.9990365553564495,2.189462872292225,0.039681977342676235,0.16662652313985207,0.0912276196788427
x-arouf@a082.anvil.rcac.purdue.edu,3451.040347337723,14375.704500675201,7897.280180717576,1034,0.958622318704923,3.993251250187556,2.1936889390882155,0.03994259661270513,0.16638546875781482,0.09140370579534231
x-arouf@a106.anvil.rcac.purdue.edu,3465.7052998542786,14302.77173423767,8170.323939793557,320,0.9626959166261885,3.972992148399353,2.2695344277204326,0.04011232985942452,0.1655413395166397,0.09456393448835135
x-arouf@a031.anvil.rcac.purdue.edu,3407.426645040512,14285.75140786171,8014.924415350848,1343,0.9465074014001422,3.968264279961586,2.2263678931530135,0.039437808391672595,0.16534434499839942,0.09276532888137555
x-arouf@a080.anvil.rcac.purdue.edu,3448.9459714889526,14266.495654821396,7803.903271931063,1047,0.9580405476358201,3.96291545967261,2.1677509088697398,0.03991835615149251,0.16512147748635875,0.09032295453623915
x-arouf@a014.anvil.rcac.purdue.edu,3438.045421600342,14250.657375574112,7911.672495195667,1366,0.9550126171112061,3.9585159376594756,2.1976868042210187,0.039792192379633586,0.16493816406914483,0.09157028350920911
x-arouf@a074.anvil.rcac.purdue.edu,3449.33594250679,14229.652127027512,7853.5198794201415,1044,0.9581488729185528,3.952681146396531,2.1815332998389283,0.039922869704939704,0.16469504776652213,0.09089722082662201
x-arouf@a083.anvil.rcac.purdue.edu,3454.564271211624,14187.412684679031,7799.544604185993,1049,0.9596011864476733,3.9409479679663977,2.1665401678294427,0.039983382768653056,0.16420616533193325,0.09027250699289344
x-arouf@a079.anvil.rcac.purdue.edu,3400.986895084381,14185.29176568985,7876.659450204701,1039,0.9447185819678836,3.940358823802736,2.1879609583901947,0.03936327424866182,0.16418161765844733,0.09116503993292478
x-arouf@a239.anvil.rcac.purdue.edu,3448.7364025115967,14136.949993610382,8589.83223564384,307,0.9579823340309991,3.926930553780662,2.386064509901067,0.03991593058462496,0.16362210640752756,0.09941935457921111
x-arouf@a035.anvil.rcac.purdue.edu,3387.917683839798,14136.032892942429,7819.869867692486,1046,0.941088245511055,3.9266758035951193,2.1721860743590238,0.03921201022962729,0.16361149181646328,0.09050775309829266
x-arouf@a013.anvil.rcac.purdue.edu,3411.230612039566,14124.033535718918,7883.767387182956,1038,0.9475640588998795,3.9233426488108103,2.189935385328599,0.03948183578749498,0.1634726103671171,0.09124730772202495
x-arouf@a130.anvil.rcac.purdue.edu,3518.104128599167,14042.09787774086,8442.410685003393,303,0.9772511468331019,3.9005827438169054,2.345114079167609,0.04071879778471258,0.16252428099237107,0.09771308663198372
x-arouf@a016.anvil.rcac.purdue.edu,3370.977129459381,13998.75533413887,7884.441799546791,1364,0.9363825359609392,3.8885431483719084,2.190122722096331,0.03901593899837247,0.16202263118216284,0.09125511342068045
x-arouf@a036.anvil.rcac.purdue.edu,3377.4636449813843,13996.655178546906,7718.087898050197,1059,0.9381843458281623,3.887959771818585,2.1439133050139434,0.03909101440950676,0.16199832382577437,0.08932972104224765
x-arouf@a007.anvil.rcac.purdue.edu,3455.574023246765,13994.466641664505,7889.783131787605,1362,0.9598816731241014,3.887351844906807,2.191606425496557,0.03999506971350423,0.16197299353778363,0.09131693439568987
x-arouf@a120.anvil.rcac.purdue.edu,3499.2098388671875,13891.021619319916,8653.942483018709,298,0.9720027330186632,3.8586171164777543,2.4038729119496414,0.040500113875777635,0.1607757131865731,0.10016137133123505
x-arouf@a067.anvil.rcac.purdue.edu,3486.23646235466,13607.22712278366,8338.89285463892,314,0.9683990173207389,3.7797853118843503,2.3163591262885888,0.04034995905503079,0.15749105466184793,0.09651496359535787
arouf@ec166,2252.3083267211914,9258.508428096771,5138.969716692399,668,0.6256412018669976,2.5718078966935476,1.4274915879701109,0.026068383411124902,0.10715866236223115,0.059478816165421285
arouf@ec136,2224.0402207374573,9088.596423387527,5130.6102914468565,670,0.6177889502048493,2.5246101176076463,1.4251695254019046,0.025741206258535387,0.10519208823365193,0.05938206355841269
arouf@ec168,2228.116140604019,9049.47696685791,5137.815492548985,668,0.6189211501677832,2.513743601904975,1.427170970152496,0.025788381256990962,0.10473931674604063,0.059465457089687326
arouf@ec138,2223.4838128089905,9022.718436002731,5133.6774504605255,669,0.6176343924469418,2.5063106766674252,1.4260215140168127,0.025734766351955908,0.10442961152780939,0.05941756308403386
arouf@ec143,2234.927268743515,8938.814249038696,5204.6191386854525,659,0.620813130206532,2.4830039580663046,1.445727538523737,0.025867213758605498,0.10345849825276268,0.060238647438489036
arouf@ec187,1766.6531434059143,7427.641219854355,4122.29939805846,833,0.49073698427942064,2.0632336721817652,1.14508316612735,0.02044737434497586,0.08596806967424021,0.04771179858863958
ab823254@CECSL78755036,1269.5610182285309,7343.576256275177,3510.9510721063093,1282,0.35265583839681414,2.0398822934097716,0.9752641866961971,0.014693993266533922,0.08499509555874048,0.04063600777900821
arouf@ec191,1783.4985570907593,7289.822298526764,4108.401790142344,837,0.49541626585854426,2.0249506384796567,1.1412227194839843,0.020642344410772676,0.08437294326998569,0.04755094664516602
arouf@ec192,1763.1808273792267,7274.2986624240875,4103.086523526031,837,0.4897724520497852,2.0206385173400245,1.1397462565350085,0.020407185502074383,0.08419327155583435,0.047489427355625356
rouf@apt35,1208.9009900093079,4972.827081918716,2816.719832777322,364,0.33580583055814106,1.3813408560885323,0.7824221757714783,0.013991909606589211,0.05755586900368885,0.032600923990478266
